Source,Target
KL1,KL2
KL1,KL3
KL1,KL5
KL1,KL4
KL1,KL6
KL1,KL7
KL1,KL9
KL1,KL10
KL2,KL3
KL2,KL5
KL3,KL6
KL2,KL11
KL11,KL4
KL4,KL5
KL11,KL13
KL13,KL3
KL13,KL8
KL8,KL9
KL8,KL5
KL13,KL15
KL15,KL10
KL10,KL14
KL14,KL9
KL14,KL12
KL12,KL15
KL12,KL5
KL7,KL6
KL7,KL10
MH1,MH2
MH1,MH3
MH1,MH5
MH1,MH4
MH1,MH6
MH1,MH7
MH1,MH9
MH1,MH10
MH2,MH3
MH2,MH5
MH3,MH6
MH2,MH11
MH11,MH4
MH4,MH5
MH11,MH13
MH13,MH3
MH13,MH8
MH8,MH9
MH8,MH5
MH13,MH15
MH15,MH10
MH10,MH14
MH14,MH9
MH14,MH12
MH12,MH15
MH12,MH5
MH7,MH6
MH7,MH10
KA1,KA2
KA1,KA3
KA1,KA5
KA1,KA4
KA1,KA6
KA1,KA7
KA1,KA9
KA1,KA10
KA2,KA3
KA2,KA5
KA3,KA6
KA2,KA11
KA11,KA4
KA4,KA5
KA11,KA13
KA13,KA3
KA13,KA8
KA8,KA9
KA8,KA5
KA13,KA15
KA15,KA10
KA10,KA14
KA14,KA9
KA14,KA12
KA12,KA15
KA12,KA5
KA7,KA6
KA7,KA10
TL1,TL2
TL1,TL3
TL1,TL5
TL1,TL4
TL1,TL6
TL1,TL7
TL1,TL9
TL1,TL10
TL2,TL3
TL2,TL5
TL3,TL6
TL2,TL11
TL11,TL4
TL4,TL5
TL11,TL13
TL13,TL3
TL13,TL8
TL8,TL9
TL8,TL5
TL13,TL15
TL15,TL10
TL10,TL14
TL14,TL9
TL14,TL12
TL12,TL15
TL12,TL5
TL7,TL6
TL7,TL10
DL1,DL2
DL1,DL3
DL1,DL5
DL1,DL4
DL1,DL6
DL1,DL7
DL1,DL9
DL1,DL10
DL2,DL3
DL2,DL5
DL3,DL6
DL2,DL11
DL11,DL4
DL4,DL5
DL11,DL13
DL13,DL3
DL13,DL8
DL8,DL9
DL8,DL5
DL13,DL15
DL15,DL10
DL10,DL14
DL14,DL9
DL14,DL12
DL12,DL15
DL12,DL5
DL7,DL6
DL7,DL10
KL4,MH2
KL6,MH5
KL6,MH7
KL5,DL4
KL1,KA3
KL1,KA7
KL3,KA9
KL6,KA10
KL2,KA1
KL2,TL3
KL5,TL4
MH1,DL2
MH3,DL8
MH7,DL2
MH7,DL11
MH3,KA2
MH8,KA9
MH4,TL13
MH1,TL8
MH5,TL9
KA2,TL5
KA8,TL6
KA4,TL14
KA3,DL5
KA8,DL7
TL8,DL6
TL9,DL4
TL9,DL10
TJ2,TL4
TJ2,TL7
TJ2,TL9
TJ1,KA4
TJ1,KA6
TJ3,KL3
TJ4,MH7
TJ5,DL5
TJ5,DL3
TJ6,DL9
TJ6,DL12
TJ7,TL6
TJ7,TL8
TJ1,TJ2
TJ1,TJ3
TJ1,TJ4
TJ1,TJ5
TJ1,TJ6
TJ1,TJ7
TJ2,TJ3
TJ2,TJ4
TJ2,TJ5
TJ2,TJ6
TJ2,TJ7
TJ3,TJ4
TJ3,TJ5
TJ3,TJ6
TJ3,TJ7
TJ4,TJ5
TJ4,TJ6
TJ4,TJ7
TJ5,TJ6
TJ5,TJ7
TJ6,TJ7
